PING 1.1.1.1 (1.1.1.1) 56(84) bytes of data.
64 bytes from 1.1.1.1: icmp_seq=1 ttl=52 time=24.0 ms
64 bytes from 1.1.1.1: icmp_seq=2 ttl=52 time=25.1 ms
64 bytes from 1.1.1.1: icmp_seq=3 ttl=52 time=24.1 ms
64 bytes from 1.1.1.1: icmp_seq=4 ttl=52 time=25.4 ms
64 bytes from 1.1.1.1: icmp_seq=5 ttl=52 time=22.6 ms
64 bytes from 1.1.1.1: icmp_seq=6 ttl=52 time=24.5 ms
64 bytes from 1.1.1.1: icmp_seq=7 ttl=52 time=24.9 ms
64 bytes from 1.1.1.1: icmp_seq=8 ttl=52 time=23.9 ms
64 bytes from 1.1.1.1: icmp_seq=9 ttl=52 time=25.1 ms
64 bytes from 1.1.1.1: icmp_seq=10 ttl=52 time=25.1 ms
64 bytes from 1.1.1.1: icmp_seq=11 ttl=52 time=24.9 ms
64 bytes from 1.1.1.1: icmp_seq=12 ttl=52 time=24.7 ms
64 bytes from 1.1.1.1: icmp_seq=13 ttl=52 time=24.8 ms
64 bytes from 1.1.1.1: icmp_seq=14 ttl=52 time=25.1 ms
64 bytes from 1.1.1.1: icmp_seq=15 ttl=52 time=26.8 ms
64 bytes from 1.1.1.1: icmp_seq=16 ttl=52 time=24.7 ms
64 bytes from 1.1.1.1: icmp_seq=17 ttl=52 time=25.5 ms
64 bytes from 1.1.1.1: icmp_seq=18 ttl=52 time=24.5 ms
64 bytes from 1.1.1.1: icmp_seq=19 ttl=52 time=24.6 ms
